qinf,b_owt,c_owt,c_damw,c_ARK,Phi[1],Phi[2])
28.0,0.0,1000000.0,1000000.0,30.3,-0.852,-1.514
25.2,10.0,1000000.0,1000000.0,30.3,-1.461,-1.6
26.6,10.0,100.0,1000000.0,30.3,-1.371,-1.557
27.3,10.0,100.0,100.0,30.3,-1.365,-1.544
27.5,10.0,100.0,50.0,30.3,-1.362,-1.537
28.2,10.0,100.0,10.0,30.3,-1.36,-1.513
35.8,10.0,100.0,50.0,17.7,-1.148,-1.297
35.8,10.0,100.0,50.0,17.7,-1.148,-1.297
35.8,10.0,100.0,50.0,17.7,-1.148,-1.297
2026-06-19T17:45:56.736135,35.8,10.0,100.0,50.0,17.7,-1.148,-1.297
2026-06-19T17:46:18.372210,35.8,10.0,100.0,50.0,17.7,-1.148,-1.297
2026-06-19 17:48:00,35.8,10.0,100.0,50.0,17.7,-1.148,-1.297
2026-06-19 17:50,35.8,10.0,100.0,50.0,17.7,-1.148,-1.297

datetime,temp,qinf,b_owt,c_owt,c_damw,c_ARK,Phi[1],Phi[2]
2026-06-20 00:30,5.1,29.6,0.0,100.0,50.0,29.2,-0.846,-1.473
2026-06-20 00:30,5.1,29.6,0.0,100.0,50.0,29.2,-0.846,-1.473
2026-06-20 00:30,5.1,29.6,0.0,100.0,50.0,29.2,-0.846,-1.473

datetime,temp,qinf,b_owt,c_owt,c_damw,c_ARK,cARK[T],Phi[1],Phi[2]
2026-06-20 00:51,5.1,29.6,0.0,100.0,50.0,23.0,29.2,-0.846,-1.473
2026-06-20 00:53,5.1,28.1,10.0,100.0,50.0,23.0,29.2,-1.348,-1.521
2026-06-20 01:11,5.1,24.3,10.0,100.0,50.0,23.0,29.2,-1.216,-1.36
2026-06-20 01:13,5.1,22.6,10.0,100.0,50.0,23.0,29.2,-1.157,-1.289
2026-06-20 01:15,5.1,19.5,10.0,100.0,50.0,23.0,29.2,-1.053,-1.167
2026-06-20 01:16,5.1,23.3,10.0,100.0,50.0,10.0,12.7,-0.819,-0.945
2026-06-20 01:16,5.1,18.1,10.0,100.0,50.0,30.0,38.0,-1.142,-1.251
2026-06-20 01:17,5.1,16.5,10.0,100.0,50.0,40.0,50.7,-1.241,-1.346
2026-06-20 01:18,5.1,12.8,10.0,100.0,50.0,80.0,101.5,-1.47,-1.565
2026-06-20 01:19,5.1,13.7,10.0,100.0,50.0,80.0,101.5,-1.55,-1.654
2026-06-20 01:19,5.1,16.6,10.0,100.0,50.0,50.0,63.4,-1.402,-1.515
2026-06-20 01:19,5.1,18.1,10.0,100.0,50.0,40.0,50.7,-1.325,-1.444
2026-06-20 01:21,22.9,29.5,10.0,100.0,50.0,23.0,18.2,-1.031,-1.152
2026-06-20 01:22,5.1,20.9,10.0,100.0,50.0,40.0,50.7,-1.471,-1.608
2026-06-20 01:24,5.1,18.8,10.0,100.0,50.0,40.0,50.7,-1.365,-1.49
2026-06-20 01:24,5.1,18.1,10.0,100.0,50.0,40.0,50.7,-1.329,-1.449
2026-06-20 01:25,22.9,24.5,10.0,100.0,50.0,23.0,18.2,-0.924,-1.026
2026-06-20 01:26,22.9,25.8,10.0,100.0,50.0,23.0,18.2,-0.953,-1.06
2026-06-20 01:27,22.9,26.9,10.0,100.0,50.0,23.0,18.2,-0.976,-1.087
2026-06-20 01:27,22.9,28.6,10.0,100.0,50.0,23.0,18.2,-1.013,-1.131
2026-06-20 01:28,5.1,20.3,10.0,100.0,50.0,40.0,50.7,-1.438,-1.571
2026-06-20 01:29,5.1,18.6,10.0,100.0,50.0,50.0,63.4,-1.527,-1.655
2026-06-20 01:29,5.1,22.4,10.0,100.0,50.0,30.0,38.0,-1.322,-1.462
2026-06-20 01:31,5.1,20.2,10.0,100.0,50.0,30.0,38.0,-1.229,-1.352
2026-06-20 01:31,5.1,21.1,10.0,100.0,50.0,30.0,38.0,-1.267,-1.396
2026-06-20 01:32,5.1,20.8,10.0,100.0,50.0,30.0,38.0,-1.254,-1.382
2026-06-20 01:32,5.1,20.6,10.0,100.0,50.0,30.0,38.0,-1.246,-1.372
2026-06-20 01:33,5.1,21.5,10.0,100.0,50.0,30.0,38.0,-1.286,-1.419
2026-06-20 01:33,5.1,18.1,10.0,100.0,50.0,40.0,50.7,-1.325,-1.444
2026-06-20 01:34,5.1,19.4,10.0,100.0,50.0,40.0,50.7,-1.396,-1.525
2026-06-20 01:35,22.9,31.8,10.0,100.0,50.0,23.0,18.2,-1.082,-1.214
2026-06-20 01:36,22.9,35.3,10.0,100.0,50.0,23.0,18.2,-1.161,-1.311
