x,y
128467.3, 468694.8
128457.0, 468599.0
128193.1, 468284.4
128165.7, 468243.4
128151.9, 468161.3
128261.5, 468120.3
128316.3, 468175.0
128139.1, 469775.4
129195.0, 471649.5
129188.1, 471608.4
129414.5, 472224.0
129147.5, 472429.2
129127.1, 472593.3
129168.1, 472593.3
129154.4, 472552.3
129168.2, 472661.7
129175.1, 472695.9
129181.9, 472771.2
129182.0, 472812.2
129209.4, 472866.9
129634.9, 474303.2
129676.0, 474316.9
129730.8, 474330.6
129785.6, 474330.6
129840.4, 474344.3
129621.1, 474180.1
129621.1, 474152.8
129662.2, 474234.8
129703.3, 474248.5
129758.1, 474275.9
129771.8, 474234.8
129812.9, 474248.5
129826.6, 474275.9
129867.7, 474289.5
130210.2, 474262.2
129607.3, 474043.3
129607.3, 474002.3
129579.9, 473961.2
129662.1, 473974.9
129607.3, 473906.5
129662.1, 473920.2
129771.7, 473974.9
129812.8, 473988.6
129881.3, 473988.6
129977.2, 473974.9
129648.3, 473824.5
129716.8, 473838.1
129785.3, 473851.8
129785.2, 473715.0
129798.9, 473728.7
129798.8, 473550.9
129648.2, 473605.6
129593.4, 473550.9
129538.6, 473578.2
129524.8, 473496.2
129497.4, 473373.0
129497.3, 473304.6
129524.7, 473318.3
129620.6, 473345.7
129689.2, 473400.4
129716.5, 473332.0
129743.9, 473236.2
129771.2, 473181.5
129812.2, 473058.4
129469.9, 473236.2
129483.5, 473099.5
129510.9, 473113.1
129620.4, 473017.4
129524.5, 472976.3
129688.9, 472949.0
129772.3, 474987.2
129772.2, 474918.8
129758.5, 474850.4
129744.7, 474768.3
129717.3, 474699.9
129758.4, 474713.6
129799.5, 474754.6
129840.6, 474699.9
129895.4, 474741.0
129977.6, 474741.0
130114.6, 474864.1
130224.2, 474809.3
129703.6, 474631.5
129744.6, 474563.1
129758.3, 474604.2
129799.4, 474617.8
129840.5, 474631.5
129689.8, 474549.4
129689.8, 474481.0
129676.1, 474440.0
129662.3, 474385.3
129468.2, 476338.0
129389.5, 476368.8
129389.4, 476286.7
129361.9, 476013.1
129320.8, 476013.1
129320.7, 475931.0
129320.7, 475862.6
129348.0, 475739.5
129306.9, 475739.5
129224.7, 475712.2
129238.4, 475739.5
129183.6, 475753.2
129046.7, 475807.9
129142.6, 475835.3
129156.3, 475876.3
129183.7, 475917.4
129183.8, 475944.7
129197.5, 475982.3
129224.9, 476026.8
129375.4, 475657.5
129375.3, 475575.4
129361.6, 475493.3
129320.5, 475493.3
129306.8, 475575.4
129101.4, 475712.2
129087.7, 475657.5
129074.0, 475589.1
129046.5, 475493.3
128964.4, 475657.5
129101.3, 475424.9
129156.1, 475438.6
129087.5, 475342.8
129183.4, 475342.8
129251.9, 475342.8
129306.7, 475342.8
129293.0, 475301.8
129347.8, 475274.4
129375.2, 475342.8
129388.9, 475383.9
129375.3, 475438.6
129320.5, 475438.6
129347.7, 475206.0
129334.0, 475110.3
129224.5, 475274.4
129265.6, 475260.8
129197.0, 475192.4
129087.4, 475151.3
128977.9, 475301.8
129019.0, 475329.2
129019.1, 475383.9
128964.2, 475233.4
128950.5, 475192.4
128923.0, 475151.3
128895.6, 475124.0
128895.6, 475069.3
128868.2, 475018.0
129388.7, 475014.5
129457.2, 474973.5
129607.9, 474959.8
129580.4, 474877.7
129607.8, 474918.8
129566.7, 474918.8
129511.9, 474905.1
129457.1, 474891.4
129443.5, 474932.5
129402.4, 474946.1
129402.3, 474905.1
129196.9, 474918.8
129128.4, 474918.8
129101.0, 474905.1
129059.9, 474905.1
129005.1, 474918.8
128950.3, 474918.8
129032.5, 474877.7
129059.8, 474850.4
129087.2, 474809.3
129032.4, 474809.3
128977.6, 474823.0
128936.5, 474809.3
128936.5, 474754.6
128703.6, 474741.0
129594.1, 474823.0
129566.7, 474823.0
129511.9, 474823.0
129457.1, 474823.0
129416.0, 474809.3
129361.2, 474809.3
129237.9, 474795.7
129183.1, 474795.7
129142.0, 474754.6
129580.3, 474754.6
129580.3, 474699.9
129525.5, 474699.9
129443.3, 474699.9
129388.5, 474686.2
129374.8, 474727.3
129306.3, 474672.6
129237.8, 474672.6
129320.0, 474600.7
129265.2, 474604.2
129114.4, 474467.4
129182.9, 474481.0
129278.8, 474508.4
129337.0, 474491.3
129347.3, 474453.7
129347.3, 474385.3
129360.9, 474344.3
129278.8, 474371.6
129265.0, 474289.5
129155.4, 474193.8
129032.1, 474234.8
129114.3, 474330.6
129388.1, 473961.2
129347.0, 473947.6
129182.6, 473892.8
129415.4, 473865.5
129415.4, 473728.7
129374.3, 473810.8
129429.6, 474617.8
129415.8, 474535.8
129415.8, 474453.7
129402.1, 474412.7
129402.0, 474357.9
129429.4, 474330.6
129388.3, 474303.2
129484.3, 474549.4
129539.1, 474549.4
129552.9, 474604.2
129539.1, 474481.0
129470.6, 474467.4
129525.4, 474426.3
129511.6, 474357.9
129470.4, 474166.4
129388.3, 474234.8
129360.8, 474180.1
129401.9, 474166.4
129374.5, 474125.4
129401.9, 474057.0
129374.4, 474016.0
129415.5, 474016.0
129442.9, 474029.6
129401.6, 473632.9
129346.8, 473619.3
129346.8, 473674.0
129319.4, 473660.3
129374.2, 473564.5
129333.1, 473578.2
129360.4, 473496.2
129305.7, 473509.8
129237.2, 473537.2
129209.8, 473482.5
129346.7, 473441.4
129305.6, 473455.1
129333.0, 473373.0
129305.6, 473400.4
129332.9, 473304.6
129264.5, 473373.0
129223.4, 473359.4
129264.4, 473304.6
129291.8, 473263.6
129305.5, 473222.6
129209.6, 473291.0
129264.4, 473195.2
129154.8, 473208.9
129195.9, 473167.9
129250.6, 473113.1
129250.6, 473072.1
129278.0, 473017.4
129236.9, 473017.4
129045.2, 473113.1
129652.4, 476260.3
129685.1, 476249.3
129619.0, 476211.8
129762.9, 476160.6
129813.4, 476160.2
129664.5, 476099.5
129661.4, 476090.4
129409.2, 476091.9
129413.7, 476076.8
129594.5, 476041.9
129593.0, 475997.9
129567.1, 475985.7
129649.2, 475997.9
129444.0, 475914.4
129448.5, 475893.2
129474.4, 475896.2
129512.4, 475899.3
129527.6, 475894.7
129542.8, 475900.8
129559.5, 475900.8
129565.5, 475902.3
129602.0, 475908.4
129606.6, 475903.8
129630.9, 475894.7
129620.2, 475846.2
129466.7, 475852.3
129452.3, 475841.6
129419.6, 475737.0
129469.7, 475740.0
129477.3, 475735.5
129471.2, 475730.9
129481.8, 475703.6
129466.6, 475696.0
129472.7, 475662.6
129565.4, 475652.0
129603.3, 475653.5
129597.3, 475703.6
129608.0, 475756.7
129614.1, 475759.7
129611.0, 475777.9
129585.2, 475777.9
129583.7, 475770.3
129547.2, 475771.9
129753.9, 475770.3
129686.9, 475667.2
129699.1, 475670.2
129729.5, 475677.8
129735.5, 475652.0
129715.8, 475633.8
