# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH, EV24
# 
  240,20100101,    0,   -1,   -1,    1,    3
  240,20100102,   20,    7,    5,   16,    2
  240,20100103,    0,    0,    0,    1,    3
  240,20100104,    8,    3,    1,   14,    2
  240,20100105,    8,    4,    3,    1,    2
  240,20100106,   29,   28,   13,   16,    4
  240,20100107,    0,   -1,   -1,    1,    3
  240,20100108,    0,   -1,   -1,    5,    2
  240,20100109,   44,    6,    1,   17,    2
  240,20100110,   57,   17,    5,   15,    1
  240,20100111,    0,   -1,   -1,    1,    1
  240,20100112,   14,    3,    2,    4,    2
  240,20100113,    6,    1,    1,   19,    2
  240,20100114,    0,   -1,   -1,    1,    4
  240,20100115,    0,    0,    0,    1,    1
  240,20100116,   42,   29,    8,   20,    1
  240,20100117,   11,    3,    2,    9,    3
  240,20100118,   20,    5,    3,   21,    1
  240,20100119,    2,    1,    1,   12,    2
  240,20100120,    0,   -1,   -1,    1,    4
  240,20100121,    0,   -1,   -1,    1,    2
  240,20100122,    0,    0,    0,    1,    4
  240,20100123,  116,   45,    7,   23,    1
  240,20100124,   46,   11,    4,    1,    1
  240,20100125,    0,    0,    0,    1,    1
  240,20100126,    0,    0,    0,    1,    5
  240,20100127,   49,   23,    8,   20,    2
  240,20100128,    9,    7,    3,    9,    5
  240,20100129,  119,   90,   15,    5,    2
  240,20100130,   45,   42,   12,    1,    7
  240,20100131,    1,    1,    1,    2,    5
  240,20100201,   19,   28,    8,   11,    5
  240,20100202,  141,   85,   11,   21,    1
  240,20100203,   10,    6,    4,    5,    5
  240,20100204,   30,   26,   12,    4,    2
  240,20100205,   22,    8,    6,   15,    2
  240,20100206,    0,   -1,   -1,    1,    3
  240,20100207,    0,    0,    0,    1,    1
  240,20100208,    0,    0,    0,    1,    3
  240,20100209,    0,    0,    0,    1,    5
  240,20100210,   29,   16,   10,    4,    4
  240,20100211,    0,   -1,   -1,    1,    5
  240,20100212,    0,    0,    0,    1,    8
  240,20100213,    0,   -1,   -1,    1,    3
  240,20100214,   44,    9,    3,   10,    2
  240,20100215,    8,    3,    1,    8,    5
  240,20100216,   10,    3,    2,    7,    4
  240,20100217,    3,    1,    1,   21,    6
  240,20100218,   25,   17,    5,    1,    3
  240,20100219,   20,   12,    4,    7,    2
  240,20100220,    0,    0,    0,    1,    7
  240,20100221,   61,   80,   30,   17,    3
  240,20100222,  131,   89,   14,   14,    2
  240,20100223,   25,    8,    4,   22,    9
  240,20100224,   16,   12,    9,   24,    5
  240,20100225,   73,   50,    8,    1,    3
  240,20100226,   28,   18,   10,    6,    4
  240,20100227,   43,   20,    6,   17,    4
  240,20100228,  175,   79,   10,   14,    1
  240,20100301,   42,   17,    5,    3,    9
  240,20100302,    0,    0,    0,    1,   12
  240,20100303,    0,    0,    0,    1,   11
  240,20100304,    0,    0,    0,    1,   13
  240,20100305,   69,   55,   15,   17,    7
  240,20100306,    0,    0,    0,    1,   14
  240,20100307,    0,    0,    0,    1,   14
  240,20100308,    5,    1,    1,    6,    5
  240,20100309,    0,    0,    0,    1,   15
  240,20100310,    0,    0,    0,    1,   12
  240,20100311,    0,   -1,   -1,    1,    7
  240,20100312,    0,   -1,   -1,    1,    7
  240,20100313,    1,    1,    1,    7,    8
  240,20100314,    0,   -1,   -1,    1,    9
  240,20100315,   93,   92,   16,   18,    7
  240,20100316,    2,    1,    1,    1,   15
  240,20100317,    0,    0,    0,    1,   16
  240,20100318,    0,    0,    0,    1,   16
  240,20100319,   60,   33,   15,   23,    3
  240,20100320,   64,  111,   61,   16,    5
