"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 1/31/24, 7:08:40 PM"


65
X,Y
-0.0390447,0.373789,
0.0863821,0.395637,
0.186522,0.452738,
0.282985,0.527510,
0.357801,0.626939,
0.392804,0.796927,
0.461116,1.46945,
0.504085,1.48381,
0.679941,1.46346,
0.924072,1.41867,
1.46940,1.39307,
1.79607,1.33809,
2.09381,1.33248,
2.54198,1.36654,
2.73221,1.34272,
3.04093,1.29118,
3.21322,1.26727,
3.79075,1.25598,
4.05981,1.24670,
4.18895,1.24380,
4.34695,1.20921,
4.51549,1.21712,
4.53016,1.15351,
4.62168,0.0855464,
4.64736,-0.0275361,
4.69080,-0.105153,
4.76295,-0.186165,
4.82419,-0.238929,
4.92831,-0.259640,
5.01084,-0.266307,
5.12192,-0.244530,
5.20418,-0.198131,
5.27556,-0.127021,
5.32541,-0.0560181,
5.35729,0.0219716,
5.37462,0.142343,
5.38444,0.326357,
5.42544,0.726332,
5.47330,1.19002,
5.54835,1.24346,
5.74904,1.27629,
6.13280,1.28173,
6.53803,1.29789,
6.78903,1.31329,
7.06162,1.31464,
7.39493,1.36582,
7.73167,1.44885,
7.95029,1.48178,
8.32317,1.51193,
8.67102,1.52426,
8.96149,1.53631,
9.14786,1.56554,
9.24106,1.57661,
9.41326,1.57039,
9.49580,1.56019,
9.51431,1.44707,
9.57810,0.895488,
9.60393,0.754103,
9.66542,0.651812,
9.73750,0.584950,
9.85620,0.518320,
9.94596,0.501076,
10.0213,0.504986,
1.80107e-05,-8.00354,
10.0072,-7.99643,
